activity_id,customer_id,activity_date,session_length_min,pages_viewed,cart_additions,promo_clicked,coupon_shown,coupon_redeemed,support_chat_started,refund_requested,shipping_delay_flag,device_type,campaign_id,event_source,event_batch_id
2,1,2026-01-03,17.4,6,2,0,0,0,0,0,0,mobile,C4,push,B100
1,1,2026-02-15,11.6,9,1,0,0,0,1,0,0,mobile,C1,site,B137
4,1,2026-02-24,12.5,11,2,0,0,0,0,0,0,desktop,C3,ad,B690
3,1,2026-03-28,3.3,7,0,0,1,0,0,0,0,mobile,C5,push,B338
5,2,2026-01-06,13.1,9,2,0,0,0,0,0,0,desktop,C2,site,B934
6,2,2026-02-24,12.0,11,5,0,0,0,0,0,1,mobile,C5,email,B506
8,2,2026-03-10,17.4,7,0,0,1,0,0,0,0,tablet,C1,push,B938
7,2,2026-03-23,6.1,5,1,0,0,0,0,1,0,desktop,C4,site,B626
12,3,2026-01-11,6.5,10,1,0,1,0,0,0,0,mobile,C5,push,B742
9,3,2026-02-01,11.1,12,0,1,0,0,0,0,0,mobile,C5,push,B412
11,3,2026-02-11,1.9,6,0,1,1,0,0,0,0,mobile,C3,ad,B863
13,3,2026-03-27,20.4,16,1,1,0,0,0,0,1,mobile,C2,site,B147
10,3,2026-03-28,8.1,9,0,0,0,0,1,0,0,desktop,C2,email,B923
14,4,2026-01-16,16.9,11,3,0,1,0,0,0,0,mobile,C4,site,B758
16,4,2026-02-08,12.7,10,0,0,0,0,0,0,0,tablet,C1,ad,B735
15,4,2026-03-06,11.8,9,0,0,0,0,0,0,0,desktop,C5,site,B537
21,5,2026-01-09,13.9,7,2,1,0,0,0,0,0,desktop,C2,site,B959
20,5,2026-02-01,12.3,15,0,0,0,0,0,0,0,desktop,C3,site,B368
17,5,2026-02-13,12.3,13,0,1,0,0,1,0,0,mobile,C1,push,B795
19,5,2026-02-13,7.3,7,2,0,0,0,0,0,0,tablet,C4,email,B342
18,5,2026-03-05,5.0,10,2,0,0,0,0,0,0,desktop,C2,ad,B736
24,6,2026-02-10,8.1,7,1,0,1,0,0,0,0,desktop,C2,site,B170
23,6,2026-02-14,6.3,11,1,0,0,0,0,0,0,mobile,C2,email,B453
22,6,2026-02-19,11.4,11,0,0,0,0,0,0,0,mobile,C3,site,B266
25,7,2026-03-24,11.9,9,3,0,1,0,0,0,0,tablet,C1,site,B756
26,8,2026-02-05,4.4,7,2,0,0,0,0,0,0,tablet,C3,site,B535
29,8,2026-02-09,6.2,15,4,1,0,1,0,0,0,tablet,C3,ad,B140
28,8,2026-02-19,13.0,1,3,1,0,0,0,0,1,mobile,C4,site,B194
27,8,2026-03-22,11.0,8,3,0,0,0,0,0,0,mobile,C5,push,B283
30,9,2026-01-10,6.8,12,1,0,0,0,0,0,0,tablet,C5,email,B300
31,9,2026-01-24,9.7,6,1,0,0,0,0,0,0,mobile,C2,ad,B481
32,9,2026-02-14,4.7,7,2,0,1,0,0,0,0,mobile,C2,push,B628
33,9,2026-03-29,5.6,9,1,0,0,0,0,0,0,tablet,C1,ad,B809
36,10,2026-02-06,5.2,16,1,0,0,0,0,0,0,mobile,C1,ad,B537
34,10,2026-02-27,13.2,10,0,0,0,0,0,0,0,mobile,C1,push,B231
35,10,2026-03-09,10.9,6,0,1,1,0,0,0,0,desktop,C4,site,B771
38,10,2026-03-20,1.3,7,1,0,1,0,0,0,0,desktop,C3,ad,B960
37,10,2026-03-22,15.9,11,2,0,1,0,0,0,0,mobile,C3,push,B221
39,11,2026-02-22,11.1,9,1,1,0,0,0,0,1,mobile,C4,site,B502
40,11,2026-03-03,9.0,10,2,0,0,0,0,0,0,desktop,C3,email,B368
44,12,2026-01-10,13.6,10,0,1,0,0,0,0,0,mobile,C1,site,B443
43,12,2026-01-23,8.0,8,1,1,0,0,0,0,0,mobile,C2,site,B334
42,12,2026-03-21,2.5,8,0,0,0,0,0,0,0,tablet,C3,site,B989
41,12,2026-03-23,5.7,9,1,0,1,0,0,0,0,desktop,C2,site,B992
45,13,2026-01-20,20.0,13,0,0,0,1,0,0,0,mobile,C1,push,B201
46,13,2026-02-07,13.7,12,4,1,0,0,0,0,0,mobile,C5,email,B713
47,13,2026-02-20,13.8,11,1,1,0,0,1,0,1,mobile,C3,site,B660
49,14,2026-01-12,10.3,10,3,0,1,0,0,0,0,mobile,C3,site,B450
51,14,2026-01-19,8.3,14,3,1,0,0,0,0,0,desktop,C4,email,B918
50,14,2026-01-20,8.3,15,2,1,1,0,0,0,0,desktop,C3,push,B126
48,14,2026-02-15,11.8,8,0,0,1,0,0,0,0,tablet,C5,ad,B425
