customer_id,household_id,age,gender,region,income_band,signup_channel,signup_date,membership_tier,account_status_code,support_case_count_90d,days_since_last_login,preferred_device,marketing_segment,record_version
1,551,65,F,south,Mid,Store,2025-02-20,platinum,A,0,16,phone,Standard,3
2,589,56,F,south,Mid,Web,2025-04-25,Silver,H,2,21,phone,Family,1
3,772,36,M,East,Mid,Web,2025-03-11,Premium-Gold,A,2,27,mobile,Premium,3
4,434,42,F,west,Low,Partner,2025-09-07,Plat,A,4,12,mobile,Budget,1
5,452,39,F,North,High,Web,2025-08-12,Gold,A,1,99,Desktop,Family,3
6,453,60,F,Eastern,Low,Store,2025-05-01,GOLD,A,1,18,phone,Budget,1
7,103,33,F,South,High,Store,2025-01-31,Silver,A,2,98,MOBILE,Standard,2
8,82,23,M,west,Low,Store,2025-01-29,GOLD,A,2,64,phone,Budget,3
9,19,47,M,West,Low,Web,2025-12-12,Gold,A,0,14,MOBILE,Standard,3
10,600,66,M,east,High,Referral,2025-05-06,SILVER,A,0,102,MOBILE,Standard,1
11,377,45,M,West,Low,Web,2025-02-09,Platinum,A,1,20,Tablet,Standard,2
12,780,29,F,west,Mid,Referral,2025-09-17,Silver ,A,2,120,mobile,Family,1
13,633,20,F,NORTH,Mid,Partner,2025-11-14,Silver,A,2,1,mobile,Standard,1
14,128,72,M,N.,Low,Referral,2025-02-14,platinum,A,2,75,MOBILE,Budget,3
15,91,62,M,east,Mid,Web,2025-12-11,Silver ,A,0,37,Mobile,Standard,3
16,330,27,M,E.,High,Web,2025-09-22,Silver ,A,4,64,DESKTOP,Premium,3
17,829,22,F,SOUTH,High,Partner,2025-04-02,Silver,A,1,101,Tablet,Standard,3
18,44,25,M,Eastern,Mid,Web,2025-10-11,Gold,A,0,95,mobile,Standard,2
19,169,39,M,Western,Mid,Web,2025-06-03,Premium-Gold,A,0,34,MOBILE,Standard,2
20,27,65,M,west,Low,Store,2025-08-20,Silver ,H,2,7,DESKTOP,Standard,2
21,373,27,M,NORTH,Low,Referral,2025-02-16,GOLD,A,2,34,Mobile,Standard,3
22,891,65,F,S.,Low,Web,2025-03-31,Gold,A,2,97,mobile,Family,1
23,616,18,F,north,High,Referral,2025-10-10,Gold,A,1,62,Desktop,Budget,3
24,445,60,F,SOUTH,High,Referral,2025-10-21,gold,A,0,91,DESKTOP,Budget,3
25,130,34,F,south,Mid,Referral,2025-01-04,PLATINUM,A,1,59,Mobile,Premium,3
26,320,73,M,east,Mid,Store,2025-03-20,Silver,A,1,64,desktop,Family,2
27,473,45,F,East,Mid,Store,2025-08-10,SILVER,A,2,7,phone,Premium,2
28,248,33,F,West,Mid,Store,2025-11-27,Premium-Gold,A,0,2,mobile,Standard,2
29,635,32,F,W.,Mid,Store,2025-09-04,Silver,A,1,85,desktop,Family,2
30,883,65,M,N.,Mid,Referral,2025-09-15,Silver ,A,1,24,DESKTOP,Standard,1
31,186,41,M,E.,Low,Web,2025-05-22,Silver ,A,2,43,Desktop,Standard,3
32,228,38,F,east,Low,Web,2025-01-20,silver,A,3,44,desktop,Standard,2
33,114,60,M,West,High,Web,2025-10-07,Platinum,A,6,76,desktop,Standard,1
34,654,49,F,NORTH,Mid,Referral,2025-10-19,silver,A,3,113,tablet,Standard,3
35,416,56,F,North,High,Partner,2025-06-11,gold,A,2,91,mobile,Family,2
36,256,43,F,SOUTH,Low,Store,2025-07-04,gold,A,0,77,mobile,Budget,1
37,198,21,M,Eastern,Mid,Referral,2025-03-27,Silver ,A,1,101,Desktop,Budget,2
38,64,18,M,West,Low,Referral,2025-06-15,Silver,H,2,61,phone,Standard,2
39,429,20,M,SOUTH,Low,Web,2025-03-30,silver,A,0,17,Desktop,Standard,1
40,615,51,F,N.,Low,Referral,2025-06-03,Silver ,A,0,59,mobile,Premium,1
41,212,47,M,north,Low,Referral,2025-02-18,Silver,A,1,118,phone,Family,2
42,2,61,M,Western,High,Web,2025-08-10,Gold,A,3,94,Desktop,Premium,3
43,426,69,F,Eastern,Mid,Referral,2025-04-01,silver,A,0,42,DESKTOP,Family,3
44,609,28,F,south,Mid,Partner,2025-09-22,Silver ,A,2,39,MOBILE,Budget,1
45,311,73,F,north,Mid,Store,2025-07-08,Silver ,A,2,111,Mobile,Budget,2
46,226,72,M,NORTH,Mid,Partner,2025-11-24,Silver ,A,0,11,Desktop,Standard,3
47,139,53,F,W.,Mid,Web,2025-03-22,Silver ,A,1,112,tablet,Premium,2
48,672,48,F,WEST,Low,Web,2025-04-10,Platinum,A,3,81,Mobile,Budget,2
49,776,28,M,East,High,Web,2025-03-30,silver,A,0,97,Mobile,Budget,3
50,693,28,M,NORTH,High,Web,2025-08-19,GOLD,A,1,39,Mobile,Standard,2
51,467,19,M,west,Mid,Store,2025-02-09,Gold,H,3,78,phone,Standard,3
52,652,55,M,East,Mid,Partner,2025-09-08,Premium-Gold,A,1,39,phone,Premium,2
53,358,43,F,West,Low,Web,2025-10-26,Gold ,A,1,2,Tablet,Family,2
54,23,29,M,south,High,Store,2025-09-04,Silver ,A,2,55,phone,Budget,2
55,331,25,F,West,Mid,Store,2025-02-19,gold,A,1,118,mobile,Standard,3
56,634,21,F,west,Low,Store,2025-06-29,SILVER,A,1,29,phone,Budget,2
57,583,55,M,North,Mid,Referral,2025-07-14,Gold,A,1,19,MOBILE,Budget,1
58,892,57,F,south,Mid,Partner,2025-05-23,Silver,A,1,111,MOBILE,Standard,2
59,898,54,F,N.,Mid,Referral,2025-06-20,Gold ,A,4,110,MOBILE,Standard,1
60,219,24,M,south,Mid,Web,2025-10-06,Gold,A,1,102,phone,Standard,1
61,9,20,F,EAST,Mid,Store,2025-11-01,gold,H,2,118,Desktop,Premium,3
62,247,24,F,South,Low,Referral,2025-04-20,Silver ,H,1,119,phone,Family,2
63,789,61,M,South,High,Referral,2025-05-01,GOLD,A,1,111,MOBILE,Budget,1
64,733,60,M,Western,Mid,Store,2025-03-17,gold,A,0,116,Tablet,Premium,3
65,89,35,M,NORTH,Mid,Store,2025-05-27,silver,R,1,90,mobile,Premium,3
66,145,21,F,East,Low,Partner,2025-07-19,SILVER,A,3,38,phone,Budget,1
67,508,36,M,WEST,High,Store,2025-09-18,Silver ,A,1,55,tablet,Standard,1
